,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
5650,10265669,Ciutat Vella,46.0,el Barri Gòtic,4,248,31,448.5
5665,10374992,Ciutat Vella,30.0,"Sant Pere, Santa Caterina i la Ribera",2,150,32,537.5
5690,10513910,Ciutat Vella,39.0,"Sant Pere, Santa Caterina i la Ribera",3,205,31,520.0
5760,10692920,Ciutat Vella,40.0,el Barri Gòtic,4,260,32,350.0
5812,10823019,Ciutat Vella,95.0,"Sant Pere, Santa Caterina i la Ribera",4,225,32,1108.33
5839,10878390,Sant Martí,47.0,Diagonal Mar i el Front Marítim del Poblenou,4,332,32,129.25
5845,10891462,Eixample,122.0,la Nova Esquerra de l'Eixample,5,359,32,61.0
5891,11007289,Ciutat Vella,66.0,el Barri Gòtic,4,263,32,561.0
5904,11039131,Sants-Montjuïc,106.0,Sants,3,155,30,1855.0
5905,11042861,Ciutat Vella,52.0,"Sant Pere, Santa Caterina i la Ribera",6,262,32,446.33
5932,11116037,Ciutat Vella,47.0,el Barri Gòtic,2,103,32,1026.17
5969,11174833,Ciutat Vella,65.0,"Sant Pere, Santa Caterina i la Ribera",4,343,32,119.17
5976,11193351,Eixample,52.0,la Nova Esquerra de l'Eixample,3,340,31,108.33
6015,11264883,Sant Martí,50.0,Provençals del Poblenou,4,16,32,1454.17
6018,11271011,Gràcia,50.0,el Camp d'en Grassot i Gràcia Nova,4,50,31,1312.5
6050,11313906,Ciutat Vella,45.0,el Raval,2,320,32,168.75
6082,11348543,Sants-Montjuïc,75.0,el Poble Sec,4,222,31,893.75
6087,11350322,Ciutat Vella,61.0,el Barri Gòtic,2,365,32,0.0
6124,11428143,Ciutat Vella,117.0,el Barri Gòtic,6,257,32,1053.0
6164,11550809,Eixample,90.0,Sant Antoni,4,50,32,2362.5
6248,11747722,Ciutat Vella,48.0,el Raval,4,137,31,912.0
6257,11762804,Ciutat Vella,95.0,el Barri Gòtic,2,321,32,348.33
6289,11857224,Gràcia,90.0,la Vila de Gràcia,2,257,31,810.0
6300,11876782,Ciutat Vella,27.0,el Barri Gòtic,3,120,32,551.25
6312,11895870,Eixample,60.0,la Sagrada Família,5,254,32,555.0
6327,11938945,Eixample,56.0,la Nova Esquerra de l'Eixample,4,305,32,280.0
6496,12406643,Ciutat Vella,32.0,la Barceloneta,2,0,60,973.33
6535,12510909,Sant Martí,50.0,el Besòs i el Maresme,3,335,32,125.0
6539,12517139,Ciutat Vella,50.0,el Raval,4,364,33,4.17
6570,12588632,Eixample,10.0,la Sagrada Família,4,356,31,7.5
6572,12594903,Ciutat Vella,50.0,el Raval,2,326,32,162.5
6800,13103577,Ciutat Vella,180.0,el Barri Gòtic,6,365,32,0.0
6806,13108452,Ciutat Vella,41.0,"Sant Pere, Santa Caterina i la Ribera",2,72,31,1001.08
6899,13252833,Gràcia,90.0,la Vila de Gràcia,2,212,31,1147.5
6935,13279313,Ciutat Vella,139.0,el Barri Gòtic,6,222,31,1656.42
6942,13288767,Ciutat Vella,65.0,"Sant Pere, Santa Caterina i la Ribera",3,350,32,81.25
7003,13368075,Sarrià-Sant Gervasi,63.0,Sant Gervasi - Galvany,2,365,32,0.0
7024,13404925,Ciutat Vella,27.0,el Barri Gòtic,2,210,32,348.75
7077,13502848,Ciutat Vella,70.0,el Barri Gòtic,4,365,32,0.0
7132,13569972,Ciutat Vella,65.0,"Sant Pere, Santa Caterina i la Ribera",3,124,31,1305.42
7188,13647725,Ciutat Vella,51.0,la Barceloneta,4,283,32,348.5
7190,13648568,Ciutat Vella,72.0,"Sant Pere, Santa Caterina i la Ribera",4,328,32,222.0
7215,13678318,Sants-Montjuïc,45.0,la Bordeta,4,165,31,750.0
7229,13694580,Ciutat Vella,190.0,el Raval,2,125,32,3800.0
7275,13748950,Ciutat Vella,52.0,el Raval,5,203,32,702.0
7323,13811701,Eixample,180.0,la Dreta de l'Eixample,4,321,32,660.0
7352,13838321,Ciutat Vella,80.0,el Barri Gòtic,4,327,32,253.33
7359,13853803,Ciutat Vella,60.0,el Barri Gòtic,4,334,31,155.0
7387,13888140,Ciutat Vella,27.0,el Barri Gòtic,2,68,64,668.25
7459,13992866,Eixample,75.0,Sant Antoni,4,316,32,306.25
7570,14152120,Ciutat Vella,99.0,el Barri Gòtic,4,239,31,1039.5
7612,14209613,Ciutat Vella,155.0,"Sant Pere, Santa Caterina i la Ribera",4,365,32,0.0
7636,14242538,Eixample,60.0,la Nova Esquerra de l'Eixample,3,183,31,910.0
7677,14308198,Ciutat Vella,116.0,el Raval,2,338,31,261.0
7749,14422065,Eixample,45.0,el Fort Pienc,2,233,32,495.0
7768,14462759,Ciutat Vella,70.0,la Barceloneta,3,318,32,274.17
7865,14669223,Ciutat Vella,50.0,la Barceloneta,3,333,32,133.33
7899,14766072,Sants-Montjuïc,41.0,Hostafrancs,4,254,32,379.25
7927,14838313,Ciutat Vella,70.0,el Raval,4,225,40,816.67
7951,14890990,Sant Martí,60.0,el Poblenou,3,330,31,175.0
7991,14965028,Ciutat Vella,100.0,"Sant Pere, Santa Caterina i la Ribera",6,364,30,8.33
8038,15067810,Sants-Montjuïc,90.0,el Poble Sec,4,281,32,630.0
8063,15136909,Sant Martí,50.0,Diagonal Mar i el Front Marítim del Poblenou,4,275,32,375.0
8064,15140815,Gràcia,64.0,Vallcarca i els Penitents,5,316,31,261.33
