,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
7389,13888593,Eixample,149.0,la Dreta de l'Eixample,4,344,3,260.75
7392,13893057,Gràcia,108.0,la Vila de Gràcia,4,351,3,126.0
7393,13893522,Gràcia,112.0,la Vila de Gràcia,4,345,3,186.67
7394,13894687,Gràcia,136.0,la Vila de Gràcia,4,336,3,328.67
7395,13894945,Gràcia,113.0,la Vila de Gràcia,4,346,3,178.92
7417,13945034,Eixample,180.0,la Sagrada Família,4,68,1,4455.0
7438,13965066,Eixample,130.0,l'Antiga Esquerra de l'Eixample,5,70,3,3195.83
7454,13986464,Eixample,120.0,l'Antiga Esquerra de l'Eixample,6,321,4,440.0
7459,13992866,Eixample,75.0,Sant Antoni,4,316,32,306.25
7462,13995386,Sant Andreu,71.0,el Congrés i els Indians,5,275,1,532.5
7469,14004632,Eixample,129.0,la Dreta de l'Eixample,6,174,2,2053.25
7471,14005224,Eixample,90.0,l'Antiga Esquerra de l'Eixample,6,99,3,1995.0
7473,14006090,Sants-Montjuïc,115.0,el Poble Sec,3,304,3,584.58
7476,14006736,Eixample,119.0,la Dreta de l'Eixample,4,162,2,2013.08
7483,14020724,Sants-Montjuïc,75.0,el Poble Sec,2,286,3,493.75
7497,14040381,Eixample,49.0,l'Antiga Esquerra de l'Eixample,2,185,3,735.0
7543,14115832,Eixample,180.0,la Dreta de l'Eixample,4,347,5,270.0
7547,14119569,Eixample,70.0,la Sagrada Família,4,108,2,1499.17
7549,14121260,Eixample,150.0,Sant Antoni,4,117,3,3100.0
7550,14121353,Eixample,275.0,la Dreta de l'Eixample,6,317,1,1100.0
7551,14121778,Eixample,500.0,la Dreta de l'Eixample,6,18,2,14458.33
7561,14133729,Ciutat Vella,185.0,el Raval,6,330,3,539.58
7562,14134387,Eixample,155.0,el Fort Pienc,4,328,3,477.92
7570,14152120,Ciutat Vella,99.0,el Barri Gòtic,4,239,31,1039.5
7578,14164414,Les Corts,85.0,les Corts,2,287,3,552.5
7584,14178223,Sant Martí,185.0,el Poblenou,6,39,3,5025.83
7585,14178375,Ciutat Vella,150.0,el Barri Gòtic,4,309,2,700.0
7597,14192493,Horta-Guinardó,100.0,Horta,6,286,1,658.33
7612,14209613,Ciutat Vella,155.0,"Sant Pere, Santa Caterina i la Ribera",4,365,32,0.0
7636,14242538,Eixample,60.0,la Nova Esquerra de l'Eixample,3,183,31,910.0
7637,14242979,Gràcia,50.0,la Vila de Gràcia,2,257,2,450.0
7646,14258912,Sants-Montjuïc,95.0,el Poble Sec,4,351,3,110.83
7650,14270013,Sant Martí,200.0,la Vila Olímpica del Poblenou,5,335,4,500.0
7656,14279618,Eixample,200.0,la Sagrada Família,6,9,2,5933.33
7661,14287138,Horta-Guinardó,59.0,Can Baró,4,346,3,93.42
7677,14308198,Ciutat Vella,116.0,el Raval,2,338,31,261.0
7700,14346513,Eixample,98.0,la Dreta de l'Eixample,5,332,1,269.5
7705,14352069,Sant Martí,112.0,el Poblenou,4,339,3,242.67
7710,14364594,Eixample,50.0,la Sagrada Família,5,52,1,1304.17
7712,14365279,Ciutat Vella,105.0,"Sant Pere, Santa Caterina i la Ribera",4,287,3,682.5
7731,14400360,Eixample,115.0,l'Antiga Esquerra de l'Eixample,5,38,4,3133.75
7749,14422065,Eixample,45.0,el Fort Pienc,2,233,32,495.0
7752,14425781,Eixample,138.0,Sant Antoni,5,156,1,2403.5
7754,14434464,Gràcia,90.0,la Vila de Gràcia,5,145,4,1650.0
7755,14434534,Eixample,200.0,la Dreta de l'Eixample,6,66,3,4983.33
7758,14435940,Eixample,200.0,l'Antiga Esquerra de l'Eixample,6,306,3,983.33
7768,14462759,Ciutat Vella,70.0,la Barceloneta,3,318,32,274.17
7771,14464072,Eixample,250.0,l'Antiga Esquerra de l'Eixample,4,12,2,7354.17
7772,14464474,Eixample,100.0,la Dreta de l'Eixample,3,226,1,1158.33
7783,14482262,Eixample,135.0,la Dreta de l'Eixample,5,309,4,630.0
7798,14497583,Sarrià-Sant Gervasi,99.0,el Putxet i el Farró,5,41,3,2673.0
7801,14498705,Eixample,388.0,la Dreta de l'Eixample,4,359,5,194.0
7808,14521196,Les Corts,86.0,la Maternitat i Sant Ramon,2,355,3,71.67
7809,14521589,Gràcia,110.0,el Camp d'en Grassot i Gràcia Nova,4,287,3,715.0
7822,14565867,Sants-Montjuïc,90.0,el Poble Sec,2,276,3,667.5
7837,14610117,Gràcia,75.0,la Vila de Gràcia,2,338,1,168.75
7845,14621782,Sants-Montjuïc,105.0,Sants,4,338,2,236.25
7846,14623889,Eixample,248.0,la Dreta de l'Eixample,4,294,3,1467.33
7864,14667676,Eixample,120.0,Sant Antoni,6,336,3,290.0
7865,14669223,Ciutat Vella,50.0,la Barceloneta,3,333,32,133.33
7870,14677981,Horta-Guinardó,75.0,la Teixonera,6,34,3,2068.75
7880,14719647,Eixample,159.0,Sant Antoni,4,224,2,1868.25
7883,14725828,Sants-Montjuïc,85.0,Sants,2,313,2,368.33
7890,14740246,Eixample,90.0,Sant Antoni,4,320,3,337.5
7891,14741950,Gràcia,70.0,la Vila de Gràcia,2,306,4,344.17
7895,14756831,Gràcia,80.0,la Vila de Gràcia,2,315,4,333.33
7898,14765045,Sant Martí,48.0,el Poblenou,6,340,5,100.0
7899,14766072,Sants-Montjuïc,41.0,Hostafrancs,4,254,32,379.25
7906,14794128,Gràcia,80.0,la Vila de Gràcia,2,316,4,326.67
7917,14819632,Eixample,101.0,Sant Antoni,4,148,1,1826.42
7927,14838313,Ciutat Vella,70.0,el Raval,4,225,40,816.67
7933,14847372,Ciutat Vella,29.0,el Raval,2,2,1,877.25
7944,14866305,Eixample,250.0,la Dreta de l'Eixample,4,295,3,1458.33
7946,14869404,Horta-Guinardó,39.0,el Carmel,4,47,2,1033.5
7951,14890990,Sant Martí,60.0,el Poblenou,3,330,31,175.0
7953,14896210,Sants-Montjuïc,126.0,el Poble Sec,6,286,2,829.5
7971,14923468,Eixample,288.0,l'Antiga Esquerra de l'Eixample,6,267,3,2352.0
7991,14965028,Ciutat Vella,100.0,"Sant Pere, Santa Caterina i la Ribera",6,364,30,8.33
8017,15025611,Eixample,90.0,l'Antiga Esquerra de l'Eixample,5,94,3,2032.5
8027,15047479,Ciutat Vella,150.0,el Barri Gòtic,6,278,3,1087.5
8038,15067810,Sants-Montjuïc,90.0,el Poble Sec,4,281,32,630.0
8057,15124297,Ciutat Vella,500.0,"Sant Pere, Santa Caterina i la Ribera",6,316,2,2041.67
8063,15136909,Sant Martí,50.0,Diagonal Mar i el Front Marítim del Poblenou,4,275,32,375.0
8064,15140815,Gràcia,64.0,Vallcarca i els Penitents,5,316,31,261.33
